id,brewStyleGroup,brewStyleNum,brewStyle,brewStyleCategory
466,08,01,English Porter [BJCP 13C],Porter
467,08,02,American Porter [BJCP 20A],Porter
468,08,03,Baltic Porter [BJCP 9C],Porter
469,09,01,Sweet Stout [BJCP 16A],Stout
470,09,02,Irish Stout [BJCP 15B],Stout
471,09,03,Oatmeal Stout [BJCP 16B],Stout
472,09,04,Irish Extra Stout [BJCP 15C],Stout
473,10,01,Tropical Stout [BJCP 16C],Strong Stout
474,10,02,Foreign Extra Stout [BJCP 16D],Strong Stout
475,10,03,American Stout [BJCP 20B],Strong Stout
476,10,04,Imperial Stout [BJCP 20C],Strong Stout
705,21,001,Specialty Porter,Specialty
706,21,002,Specialty Stout,Specialty
707,21,003,Specialty Strong Stout,Specialty
