Chewton Bushlands, 3451
Whitelaw, 3950
Bulla, 3428
Scotts Creek, 3267
Clarkefield, 3430
Franklinford, 3461
Maramingo Creek, 3891
Macclesfield, 3782
Croxton East, 3301
Fairfield, 3078
Gladfield, 3575
St Helens Plains, 3401
Ruffy, 3666
Geelong North, 3215
Fish Point, 3585
Goornong, 3557
Murrayville, 3512
Invermay, 3352
Bendoc, 3888
Bunbartha, 3634
Gelantipy, 3885
Mywee, 3641
Blampied, 3364
Brandon Park, 3150
Minimay, 3413
Heathmont, 3135
Kew, 3101
Tragowel, 3579
Mallan, 3586
Cromer, 3193
Christmas Hills, 3775
Hollands Landing, 3862
Shannonvale, 3898
Specimen Hill, 3555
Dorodong, 3312
Barongarook West, 3249
Lang Lang, 3984
Landsborough West, 3384
Rythdale, 3810
Timbarra, 3885
Armadale North, 3143
Rochford, 3442
Vervale, 3814
Moyreisk, 3467
Goughs Bay, 3723
Streatham, 3351
Lindenow South, 3875
Leongatha, 3953
Werrimull, 3496
Mount Moriac, 3240
Thomastown, 3074
Gooroc, 3478
Gobarup, 3559
Longford, 3851
Eagle Point, 3878
Gerangamete, 3243
Wonthaggi, 3995
Drung, 3401
Mitchellstown, 3608
Keilor Lodge, 3038
Golden Beach, 3851
Bangerang, 3393
Wahgunyah, 3687
Archies Creek, 3995
Claretown, 3352
Rutherglen, 3685
Axedale, 3551
Longerenong, 3401
Summerlands, 3922
Berrimal, 3518
Condah, 3303
Towong Upper, 3707
Grassmere, 3281
Heytesbury Lower, 3268
Wulgulmerang West, 3885
Kinglake West, 3757
Annuello, 3549
Bald Hills, 3364
Pakenham South, 3810
Chapple Vale, 3239
Beremboke, 3342
Hepburn, 3461
Corack, 3480
Leitchville, 3567
Gowanford, 3544
Ullswater, 3318
Mount Alfred, 3709
Howqua Hills, 3723
Highett, 3190
Merrimu, 3340
Sandown Village, 3171
Budgerum East, 3579
Harston, 3616
Drouin East, 3818
Mallacoota, 3892
Cornelia Creek, 3622
Tonghi Creek, 3890
Brighton, 3186
Meadow Heights, 3048
Tynong, 3813
Tambo Crossing, 3893
Moriac, 3240
Mount Hooghly, 3472
Yarra Junction, 3797
Corop West, 3558
Hinnomunjie, 3898
Balnarring, 3926
Youanmite, 3646
